"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"200804","02","1","508","7.212","2486","4.98734","0","508","0","2486"
"200805","02","1","410","7.087","1831","5.78774","0","410","0","1831"
"200806","02","1","428","5.926","2282","5.16526","0","428","0","2282"
"200807","02","1","418","5.812","1954","5.4199","0","418","0","1954"
"200808","02","1","362","6.804","1755","5.22169","0","362","0","1755"
"200809","02","1","352","6.097","1682","5.43448","0","352","0","1682"
"200810","02","1","457","5.712","2399","5.50954","0","457","0","2399"
"200811","02","1","571","6.035","3158","5.24179","0","571","0","3158"
"200812","02","1","512","5.837","2579","5.52689","0","512","0","2579"
"200901","02","1","1087","7.087","6773","5.31355","0","1087","0","6773"
"200902","02","1","952","6.508","5789","5.50966","0","952","0","5789"
"200903","02","1","814","6.728","4742","5.46019","0","814","0","4742"
"200904","02","1","811","6.397","4831","5.31478","0","811","0","4831"
"200905","02","1","811","6.494","4256","5.52436","0","811","0","4256"
"200906","02","1","676","6.615","3701","5.4399","0","676","0","3701"
"200907","02","1","661","5.32","3763","5.29797","0","661","0","3763"
"200908","02","1","957","5.676","5043","5.16535","0","957","0","5043"
"200909","02","1","1064","6.326","7610","5.17598","0","1064","0","7610"
"200910","02","1","1607","7.384","15088","5.22854","0","1607","0","15088"
"200911","02","1","938","6.702","6468","4.8196","0","938","0","6468"
"200912","02","1","972","6.291","6805","5.32828","0","972","0","6805"
"201001","02","1","970","7.288","5864","5.35191","0","970","0","5864"
"201002","02","1","927","6.812","6320","5.3977","0","927","0","6320"
"201003","02","1","385","5.807","1689","5.63306","0","385","0","1689"
"201004","02","1","571","6.941","3717","5.14847","0","571","0","3717"
"201005","02","1","445","6.265","2478","5.59761","0","445","0","2478"
"201006","02","1","302","5.7","1936","5.58121","0","302","0","1936"
"201007","02","1","657","6.764","3681","5.57296","0","657","0","3681"
"201008","02","1","1555","6.879","11361","5.18618","0","1555","0","11361"
"201009","02","1","1476","6.777","13851","5.28604","0","1476","0","13851"
"201010","02","1","1246","6.046","7640","5.5635","0","1246","0","7640"
"201011","02","1","1487","5.869","14344","5.45043","0","1487","0","14344"
"201012","02","1","1055","6.759","7266","5.45875","0","1055","0","7266"
"201101","02","1","976","7.15","7340","5.29363","0","976","0","7340"
"201102","02","1","1120","7.365","8365","5.24379","0","1120","0","8365"
"201103","02","1","1403","7.93","8838","5.28169","0","1403","0","8838"
"201104","02","1","1403","7.56","12201","5.4119","0","1403","0","12201"
"201105","02","1","1173","6.329","9020","5.437","0","1173","0","9020"
"201106","02","1","1313","6.876","10860","5.10765","0","1313","0","10860"
"201107","02","1","1385","6.637","10471","5.70094","0","1385","0","10471"
"201108","02","1","1289","6.972","8855","5.31936","0","1289","0","8855"
"201109","02","1","967","6.217","6624","5.50334","0","967","0","6624"
"201110","02","1","1057","6.107","6594","5.39414","0","1057","0","6594"
"201111","02","1","1331","6.691","8040","5.62374","0","1331","0","8040"
"201112","02","1","906","6.818","5649","5.47452","0","906","0","5649"
"201201","02","1","968","6.611","6597","5.44247","0","968","0","6597"
"201202","02","1","1017","6.388","6674","5.24094","0","1017","0","6674"
"201203","02","1","1136","6.262","7483","5.35954","0","1136","0","7483"
"201204","02","1","1333","7.434","9598","5.30742","0","1333","0","9598"
"201205","02","1","1312","6.391","9454","5.51245","0","1312","0","9454"
"201206","02","1","1083","6.357","7259","5.39793","0","1083","0","7259"
"201207","02","1","1236","7.153","8675","5.73245","0","1236","0","8675"
"201208","02","1","1079","6.815","8359","5.67412","0","1079","0","8359"
"201209","02","1","1308","6.664","12376","5.84762","0","1308","0","12376"
"201210","02","1","1218","6.397","8597","5.67416","0","1218","0","8597"
"201211","02","1","1146","6.222","7403","2.55299","0","1146","0","7403"
